PAIS_COD,1-2014,2-2014,3-2014,4-2014,5-2014,6-2014,7-2014,8-2014,9-2014,10-2014,11-2014,12-2014,1-2015,2-2015,3-2015,4-2015,5-2015,6-2015,7-2015,8-2015,9-2015,10-2015,11-2015,12-2015,1-2016,2-2016,3-2016,4-2016,5-2016,6-2016,7-2016,8-2016,9-2016,10-2016,11-2016,12-2016,1-2017,2-2017,3-2017,4-2017,5-2017,6-2017,7-2017,8-2017,9-2017,10-2017,11-2017,12-2017,1-2018,2-2018,3-2018,4-2018,5-2018,6-2018,7-2018,8-2018,9-2018,10-2018,11-2018,12-2018,1-2019,2-2019,3-2019,4-2019,5-2019,6-2019,7-2019,8-2019,9-2019,10-2019,11-2019,12-2019
COL,26.411462866154963,13.326356914156953,28.11782739445887,40.66620465767962,38.89557793822766,37.40396463369196,41.8825333109534,39.07010048643113,27.226721491808185,48.58712715855573,33.576329288889674,24.597055535479182,22.97349354760556,29.70604092313603,30.31420640545375,40.17262667586468,36.13075413590916,34.73071189299863,39.767539017235244,48.46928519214704,29.036410605136656,47.0,35.08487754075989,22.5203658236017,24.92434961536512,21.600278338620043,23.969016188966307,29.27916339639738,36.596122310475266,37.30018992922467,37.56773325432682,56.45708321283979,27.554246855582363,24.239659367396598,36.95091537941437,23.26227540344783,20.097164128809787,19.52595378189024,40.6806333907613,32.45460965080048,31.09094005088867,33.72900680074058,34.44802051181046,51.15693283432254,25.61990101308015,24.872647667370614,36.762107795441736,23.06443693662675,43.39544638457093,31.261818905645583,26.314591838699954,52.74973894883398,80.56872037914688,35.68831495432033,31.51282903361,46.27610102691878,28.100357007833324,22.749007204124148,32.62273651208409,15.185028759164313,37.91648733924388,32.87026267332181,32.60910741228046,42.217996917448104,86.43216080402016,43.015755921634806,32.24040742536319,46.836286830181166,33.15707452009121,21.972951698326014,36.042065009290624,17.00978925088338
CZE,38.208707392697285,30.032243108505295,32.344388446235854,43.18885649274397,53.760178485223854,47.9465387935854,44.533579305872436,52.77253744239631,47.03979361559037,51.17739403453689,45.87825452861685,36.51105468593153,43.249311726881885,48.04598852445861,34.75583285523044,37.277060850970614,55.81895608138933,51.40641543775496,49.49845416026056,58.273091583124476,54.22964338971516,49.57142857142857,47.8724771960066,37.335227977828445,48.17001350177276,44.30679178884566,17.61763576695786,44.06148408156125,55.65162584388244,53.65882679454204,49.44030928215917,64.75749168594564,54.669608534809925,31.843065693430656,48.756959252902455,35.83101914300151,45.30746627796045,35.47570063664136,30.441365294059857,61.86845992748086,53.001842268426415,53.52584568862187,50.71092218446584,63.8398381642867,51.860093575485905,38.616012157955666,52.07207107158206,37.751111615869675,48.48554612617415,63.32979857610836,42.56854750447946,54.73372781065089,75.82938388625588,45.54264127887771,36.911206198274165,58.26405612121273,35.308061850355486,36.08872721665324,41.492636405432634,25.676017165790494,38.90654122367918,60.29398907321401,47.858304005150764,54.5662100456621,71.35678391959803,48.70232213984311,38.247989501591135,57.560863855588245,38.421172501643795,35.361651425903204,45.717833713260546,26.671746295379535
DEU,69.38598311876555,60.4476843164082,33.7277501855237,46.96517189434412,69.9502056473472,57.19989164641815,54.17784808419374,63.15280177931387,63.16115868712926,81.34484563055992,84.9195412299277,75.87258053267905,66.11403311394697,77.84852245635577,35.03275285624683,47.26037607213924,71.55040787306544,53.54274173533414,55.94964842230942,64.57289055973266,65.98588305194171,81.85714285714286,88.43963226316167,75.27332803619232,69.1285846121409,68.00840577591407,14.105853426746586,47.063851895640674,68.79788938544452,58.28720122503089,57.72800374533293,71.71207767013688,65.09816035163512,47.800081103000814,86.37422738031258,77.40107298651165,68.22184306004722,58.58650565072134,37.60353232703018,47.02293516745365,68.71218541982432,67.46314805900728,67.14598577692976,76.10260603367222,66.19249875162616,50.48665410165181,84.1572257187016,79.72824048418238,67.0081838947644,70.53284149466893,49.441893673440426,52.9585798816568,85.78199052132702,64.33736415558286,57.41799392250462,71.94936426882298,41.867782879745285,10.086060599301478,63.93006985699952,64.34939457503572,55.82959461009407,67.71555697078996,53.50405538605063,53.42465753424658,81.90954773869349,69.2591535810209,60.03754823696268,69.48728515090228,46.94818408884531,9.39572114676989,62.59986216922192,64.78713112140869
DNK,69.12679999302371,44.50436754346876,37.12799203442198,49.17775176799671,72.54807866060135,47.83545140365713,55.11921275461038,57.39879352278545,76.42024592964181,43.74672946101517,71.54369773633059,63.14886948877096,71.08432681955598,68.95252873886596,33.22179135141573,49.11634846032564,76.40642434710239,47.215925966856126,57.37681237681238,58.29280231829574,78.93693370107167,41.42857142857143,75.77170868347338,62.530632947322296,74.6104408539753,63.00740986241889,15.573874576586423,49.42825454486922,77.1758838036823,51.91940298174805,62.706514002013705,62.800315090611136,71.39514479185478,24.655312246553123,76.63911075777202,62.96354027803625,69.78719937695352,53.1844963851183,41.38866110119033,54.30903120222631,75.96520228753963,54.14060986829858,59.70530959519473,64.68957360041918,71.00743777217221,28.014102905802915,76.11088711271968,62.53969222372117,70.75754593604762,63.134701095230284,62.6181014105406,52.071005917159766,84.36018957345973,64.67055734207327,48.32209194992003,61.07576220248017,55.02798237849719,20.52855342950139,56.278470609369066,50.687498759323674,58.01793475482695,63.4757244358089,67.99716957458702,51.369863013698634,82.41206030150752,76.1218677289726,56.626739469011056,61.37641489251448,59.067481482038616,20.026172042135133,61.42950996609534,57.41001556638897
EGY,23.65334268779463,16.689127355463487,23.094280497411496,41.73030127001327,10.378427128427127,23.584392838049876,33.59094545935322,19.768505184331794,16.39604240970312,49.60753532182104,22.983793469904583,9.306933957180265,24.24455005009353,32.889266041022715,27.827706484200107,41.81523290815091,10.718756296291712,25.381699526044866,33.04036372282626,22.9985119047619,14.986146568687264,52.85714285714285,24.50980691421868,9.69561584883856,26.317198601375193,24.083064815969195,42.832035658009794,47.452781805674576,9.121424375185944,25.073606883231964,30.98984699486578,33.691922112974744,17.884489544222284,26.115166261151664,26.63335960673689,9.94258958286911,33.880428453400015,29.85412689043683,33.222606274333636,44.19527789027592,8.915030374708481,26.944614978703942,35.292273334917304,44.15723981900452,18.65791863043308,28.530249915561857,26.79845200994139,14.51745765887431,37.73913972611666,45.394010889790245,19.369890531941984,54.19117647058824,46.919431279620845,23.759082185498077,48.515485512695605,44.65637080710314,25.158520079833252,41.215697417187535,21.72778810782047,20.52827436923483,35.74418108473299,46.935873832636965,18.28856333554395,52.68138801261829,38.190954773869336,33.26745846114583,50.89096058627523,50.60336039264425,31.029939930522897,42.517909313280484,32.10300003745125,27.016796217736626
ESP,38.88042835458619,52.54946766774624,31.709898891700718,47.195884514886465,58.68009386929532,44.84871810185735,31.180432840863553,32.78825844854071,51.775859829403664,67.2684458398744,44.81271099628588,36.71215233530505,39.216721581204425,72.89517213776173,45.288355101076576,46.95743450854895,55.364405520722855,40.84247836694067,32.43585262216286,35.69659826649959,52.99007462441284,65.85714285714285,48.43574780339486,35.51743380212139,46.7419979659677,62.75586241456449,31.478082876896703,47.475753129819175,54.50521702781806,44.453026790720145,36.99743997633861,45.70243216213611,52.14143378295414,37.46958637469586,51.53322852866464,35.06119026888201,43.679103700263724,55.09138198177599,49.50637436370713,51.1817594270075,50.4663900170836,46.54867299823841,35.78926780033552,45.69571666079019,49.48265931166272,39.37098027082323,52.23541886826211,33.36474018331469,54.196108696250256,66.7089470843039,48.855127832274604,37.95683954054995,97.15639810426536,37.76223853284276,39.67281433886765,53.50821817221844,35.261247456877896,7.340466604059002,35.110191495827266,28.848736167174494,46.46539183042986,67.03010776686658,56.01389574940795,37.65178687178601,94.9748743718593,47.39839705300086,47.087291505917776,56.11848516628108,41.704135202743245,6.70240303707573,37.71524094694826,33.83027192899413
EST,66.86571676041173,39.06983762328426,31.75360563886236,45.47858625353414,66.23013505114231,55.18776598868813,57.981696245026015,58.4218990015361,57.642334781317906,20.225013082155943,39.16091680282503,40.962423366364256,64.49882868188911,50.288242062472875,25.388665303512926,45.39956610642373,67.2781680088956,52.4713045905876,56.43659214943136,58.71854114452799,60.91491825238859,17.000000000000004,39.86224233283056,42.4235375210374,70.04532897702369,52.47024768643673,11.34086426212107,46.19388608373952,66.79719259859856,57.379043180459,56.591911557964984,67.4932674233661,61.17622710522096,11.96269261962693,41.72429148494057,43.486271814258984,65.15091640110256,48.68748025294409,26.143122731682222,53.411582568215564,65.21318922411797,57.93949798597404,57.69144120439738,67.14497206225147,60.487857780013066,19.72813440504459,44.12295164562008,41.915837034604635,63.372957575505815,53.44410137633837,58.36915221925857,56.80473372781065,71.56398104265404,49.01734679889656,49.942270591583636,70.01870353646517,41.33190284427701,25.213381527941035,40.71363002667133,21.217651841676705,47.396820343351706,52.45553552732916,65.80806236877191,57.305936073059364,69.34673366834173,56.379638098530386,48.62702617373126,69.7050967108913,41.22435052271382,24.23544481981242,45.03835792707744,21.507731146575512
FIN,91.00642804211122,53.37481868076843,36.41229359619475,56.21907632664517,87.30916818779795,54.23625026469436,48.81560170979034,83.5596678187404,74.09506309178629,41.18262689691261,71.83508028918658,87.81672488815346,87.25185436617697,72.86987821419116,38.22122664326775,56.1464734738456,84.23940600427,48.3820208525395,47.67140463778779,83.11135912698413,76.2640290573767,38.57142857142857,70.10727752639518,84.53994500446863,92.94695469528591,65.12056179616594,17.343120834787744,56.136108100847636,84.58042869081977,56.70145655377204,48.16486424346143,86.0579182330827,72.98854899951861,21.877534468775345,70.0280049095972,83.0242723207351,88.72116774671711,54.5609572815959,39.03149779686407,61.72581656996367,85.1070700123702,59.28561408586214,48.48294554955415,87.53270014299426,72.58697796258888,23.805242216305388,69.4116843592605,81.08010093528945,82.48115103676659,63.69875531134204,57.90979718716371,51.77514792899408,87.2037914691943,70.19364073665162,53.44023311784098,58.60312684373052,53.238441667951186,16.676291474231164,56.99611701523523,54.732326416698164,60.44466770378845,64.31413951036471,64.90325268488678,51.598173515981735,83.41708542713569,82.1280695105638,58.21795066613358,57.97461053960519,60.04843975694105,16.358331862636664,60.92247085006231,57.01341354325771
FRA,55.85483870833414,56.65812147428454,37.59203257943661,45.7771352744085,64.71125370898511,46.79751459819572,36.76892823998906,63.7310787890425,64.45906987803218,74.17582417582418,63.05137986901272,58.425137311836814,55.9926461677625,76.60634732208379,39.90251411809703,45.39439574415784,66.10495777117318,46.00702179213741,39.337362759800996,61.57470499164578,66.65909541896049,72.71428571428572,67.17878689937513,60.78445870711631,62.01081771357858,69.64314382638139,18.634235648933323,45.49593793087558,65.29381204562593,50.514282466429414,38.71859427725864,65.2634892519761,62.41970327593828,40.61232765612327,72.47349151862336,61.33092292702248,57.234636123248016,61.47635773610596,41.48774226087378,50.951138181526474,60.42556197144374,50.28586172203702,36.10814176872498,60.85155041037394,60.68393066810041,42.953616593470784,71.28028919960553,59.664893263924135,63.43175330207657,67.40283987685017,47.467573801638245,51.92394709363035,92.89099526066352,49.11080854367054,41.976476802183804,59.12423874705928,42.75859925409267,7.7094066741737475,38.42198867581945,48.887643751320375,53.89938891268455,65.1594513622454,52.51613450984954,52.73144346974346,92.96482412060305,57.52891319756855,47.780595647497776,61.658732765499956,49.54517372154875,6.834329733323553,44.27869696924574,47.32941371303826
GBR,74.54001071204988,48.6480104250277,36.18823443139662,47.968465321774666,68.76663107175811,58.89108498050986,68.76873843834444,70.35246255760369,80.19060946105076,75.19623233908948,77.33432920630987,66.36670132482939,72.55865373947881,72.03177267326897,37.522880738640836,47.477617318194426,70.4149879252441,56.274673689174854,70.5693283700574,68.45799394319131,81.34760090197678,72.71428571428572,82.33212729536258,66.98612400387948,78.47607694626485,65.40077140144072,12.499087570279492,47.657892254075385,72.1016664929094,62.96127741432329,72.2537250616861,74.32823344418739,70.40878135014385,40.61232765612327,83.17980512275645,66.78954397953947,72.77471302555698,55.88759094318722,36.73716827922571,51.16141473721074,68.18152627890049,60.877910660281294,72.57280247595384,74.63861965240642,70.10145435760826,42.564878797342665,81.81073807177474,67.8630139237418,74.9854017993401,65.25908938541762,49.25642434854213,55.02958579881657,84.8341232227488,59.06309734664223,51.59645725601385,65.86479491241545,54.577207025098026,7.372623156281801,57.24682713414036,50.94423349079753,58.548277684096064,62.17115986440842,52.90578417097693,55.25114155251141,80.90452261306534,67.90334129292684,53.10939383343882,63.41777966007543,58.94279225060678,6.2906272357861654,55.78820485070485,51.61882502879355
