PILAR,ARE,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GBR,GHA,GRC,HUN,IND,IRL,IRN,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MEX,MOR,NGA,NLD,NOR,NZL,POL,PRT,QAT,ROU,SAU,SEN,SVK,SVN,SWE,TUR,USA,VNM,ZAF,ZWE
11-2014,72.78689227662659,51.58708653575803,76.86731098566848,69.58318955601564,18.815074597079427,42.17017606208427,59.3234490728452,89.24935214186422,38.05048894118942,44.386392816344504,33.576329288889674,45.87825452861685,84.9195412299277,71.54369773633059,22.983793469904583,44.81271099628588,39.16091680282503,71.83508028918658,63.05137986901272,77.33432920630987,28.097307505520067,28.1101675878246,23.23417490989955,36.63172017640616,61.021459194768376,16.787322871260073,51.53591655705182,54.78139457608057,59.13726973509583,45.077586910316384,91.52336860670194,43.490930477645456,54.06325145153647,30.08596286072132,42.48225271775996,61.038257792484856,33.07717007898168,36.08497313207458,27.802938808373593,23.576936348675478,80.46130768051059,71.14362198903261,53.430723418646124,32.606852353229165,40.36808713741081,74.61964755141085,24.401112172851303,51.031768151333374,27.512182977158822,30.316221620569447,34.831652736242106,73.38244987701509,42.742059559692414,83.23846488097696,18.56850878590009,46.25726136897635,4.759748102139409
12-2014,56.9201256147069,50.77814760573381,57.36509838480281,63.62687212194601,16.540742360939408,27.296561867990437,54.71301456276826,85.7460909185047,33.49887255305975,43.67884668623585,24.597055535479182,36.51105468593153,75.87258053267905,63.14886948877096,9.306933957180265,36.71215233530505,40.962423366364256,87.81672488815346,58.425137311836814,66.36670132482939,26.27727481175757,23.52197412049629,30.240171557905548,34.13539507135566,59.221445583514544,23.74693518289578,44.82190987609706,80.61519823835094,36.629801159357804,36.16947524582992,80.69329850610639,39.13435321317095,57.98260963285593,14.417546328876378,35.60749208039848,60.502133378980666,24.130897963410284,27.133179273573365,21.554244251288587,15.133581857719788,67.74159486721064,59.7434070241952,50.88194774647976,25.380761127066545,48.565648688801396,70.1917272656189,26.413771970422214,39.72943809397011,30.11981052128835,22.697555754206,31.22143079039631,76.50740923893633,29.94244526017925,79.60275299930471,23.022317532169748,32.72037519574466,7.709308886648789
1-2015,80.62008923574457,68.3699136895154,67.16271161988749,64.68128371297057,25.626460037325014,20.26058083795666,72.70597731982993,74.64502369300179,55.19333688599213,40.871220379379984,22.97349354760556,43.249311726881885,66.11403311394697,71.08432681955598,24.24455005009353,39.216721581204425,64.49882868188911,87.25185436617697,55.9926461677625,72.55865373947881,33.4473258388366,31.10575565903706,27.80069438631665,38.90144674686135,74.93310088438581,24.508341114654055,70.09928901256563,45.580038555558026,24.590314886814088,45.395135513833964,72.76880696384231,25.914620706675887,37.633234874748325,15.22343389379918,42.85747864858851,79.5872153235811,45.906188247085545,22.827833890280182,43.1641455334606,17.89954776493754,72.10124177574339,81.83044913284128,86.74030705756296,40.945843592745085,53.229087333110776,81.56078721482788,31.117702429278463,62.081417026914956,36.68732659953925,28.171275108808032,39.51421679718225,79.57443534659888,36.911782892682126,57.627531293949474,28.55347122202119,47.01352446359589,24.98323688429564
2-2015,88.83094917645317,61.29569991538036,69.72519996006926,70.2752049030664,33.18337366565984,22.117034797092632,65.26443058955124,68.22088059602308,52.25741524571364,47.39654358118777,29.70604092313603,48.04598852445861,77.84852245635577,68.95252873886596,32.889266041022715,72.89517213776173,50.288242062472875,72.86987821419116,76.60634732208379,72.03177267326897,16.395676157915517,52.86316581213358,41.38279708070158,30.05489538442845,62.67928055691468,34.79490827407466,66.5688791431208,51.46363437580065,53.14249642044243,37.60620153429798,78.85211899345583,28.558058386438834,71.9460462256654,15.977752005844374,48.87128983743686,64.90394255636915,45.52258462382928,36.00671761136745,46.6592101016561,5.835622610673927,82.98806122689031,58.835914481800465,63.12797434378362,41.81694566637648,71.47928459024425,70.65985704050483,25.783227625499315,57.957386445337754,20.971230695697667,36.045954530966455,46.77751559474171,82.60454077465177,44.715924197416804,71.07739559452085,40.3388443015964,48.795837348488554,8.914694077394778
3-2015,37.71558075360343,38.10780306098343,43.032668489082376,41.69021745244282,33.23972360028349,33.596000247488554,43.25379177775528,54.37308430735078,32.67958599102291,45.666393163691176,30.31420640545375,34.75583285523044,35.03275285624683,33.22179135141573,27.827706484200107,45.288355101076576,25.388665303512926,38.22122664326775,39.90251411809703,37.522880738640836,31.065803831572786,39.72561769018182,41.9463896669779,37.914640354133624,38.07480833698941,31.93064273902332,27.6410318990404,34.24357935945462,37.69890275387263,25.803129183400266,57.025485696286545,23.35083611757956,43.467637917637916,28.782757547463433,27.88081246554847,28.817768128398882,29.716686072019165,33.78536344256578,31.174290298448696,22.8699960908058,42.38531647598798,47.63485502213355,34.44563126455401,31.186440439629667,43.7318405273756,60.101260504201676,27.577151744231827,38.35953618395149,25.73749245347403,44.033654693470424,34.800277440293385,34.34130077733904,28.93154340049273,43.219187675070025,32.10849209161576,29.25890044772929,10.702614379084967
4-2015,52.941960723193894,49.75800339306846,49.407327118764286,51.95887129331049,39.72837874300723,44.564769300128326,49.45801551130752,47.147586112454974,40.091239676258205,33.351981242904955,40.17262667586468,37.277060850970614,47.26037607213924,49.11634846032564,41.81523290815091,46.95743450854895,45.39956610642373,56.1464734738456,45.39439574415784,47.477617318194426,26.078150838851553,41.12982805255488,41.17309071034691,22.1707382655974,50.06018917830905,34.85584664613491,50.406568024993476,46.567063173857385,46.777672838421516,42.896455538743474,55.98510754828386,32.80006765665401,40.19469967107046,47.18860326694903,40.24846714468691,48.5015011199799,42.18520427688746,38.72027863810742,35.96584611374694,29.376121243568914,51.717947460172425,51.36317480639237,52.99156224587032,40.419297183950746,46.02422522611989,58.05000083779476,31.7654377330646,40.445830861111354,26.857338805220195,51.35260425700605,48.49169083118271,53.60772457899039,44.19053607115076,40.260011977998204,28.57437712406036,36.45659295508014,45.61903392516669
5-2015,67.25719020348869,78.1781380537628,66.96997849776751,81.73501347478637,39.433769833862065,29.41900436903096,72.47132906386726,72.12511947674118,50.864485363013415,44.65201749344129,36.13075413590916,55.81895608138933,71.55040787306544,76.40642434710239,10.718756296291712,55.364405520722855,67.2781680088956,84.23940600427,66.10495777117318,70.4149879252441,34.63323645940738,47.4977840943823,43.55116051078006,39.8557805567457,72.7455162350852,36.25716592225395,74.025964558111,56.792147324055776,49.158943004379495,50.06239863467115,66.06040521183131,39.02350303264937,60.215203698206686,52.473603061840706,63.200756027022145,63.609185709032204,55.98330568271992,33.33646346231721,28.67064458896751,18.391730922325607,84.55379140307542,77.99612419708777,76.020668845993,52.15458227944419,61.48045878075183,75.20130538963178,44.90088130175845,50.667574050018864,35.76090056153634,44.148470657379725,61.082279105702014,85.51022335723198,39.340045960226114,74.00998597636531,35.553239135122986,37.50952197417912,29.958543206301727
6-2015,65.6187857640319,46.19318613931249,54.58990516185441,54.43576789262375,27.55537929494781,38.54762256209479,43.21928560549393,52.35335729467359,42.59312761469926,46.04017415172326,34.73071189299863,51.40641543775496,53.54274173533414,47.215925966856126,25.381699526044866,40.84247836694067,52.4713045905876,48.3820208525395,46.00702179213741,56.274673689174854,32.07996436274127,31.142071042508572,36.409126483559284,40.95601628478439,57.571904907063434,21.494176843679636,32.52172421805112,31.210907739772264,35.020083882829795,40.287034030835386,55.06309230154182,38.949395040864665,38.924608260362305,29.80365365149316,38.087191182160495,63.8061198204718,42.3764242752228,35.02030674898638,36.75554206876583,34.61504827885952,58.5618964058492,48.43741053206864,56.66207433010223,40.273007375476894,42.21247717021665,56.81837534091413,32.60670566975404,41.6970285686721,31.89610164736996,43.42338185480967,31.536252786643768,53.34075724009985,39.98255791893848,57.71663084122797,38.157942347578896,39.87110482822861,27.210521089518537
7-2015,79.88720873593292,47.49025528794666,42.22027013440541,46.43917172673755,28.979336676785035,26.641642247150553,66.91812815547121,53.887327202434534,55.52430361462358,54.015140438793736,39.767539017235244,49.49845416026056,55.94964842230942,57.37681237681238,33.04036372282626,32.43585262216286,56.43659214943136,47.67140463778779,39.337362759800996,70.5693283700574,44.64144187007694,26.373889791265245,32.85698388169024,44.06468685731545,67.10994636268026,24.55716046542292,57.25458422096737,50.276353366673334,14.96148110161881,44.88754956960708,55.9046905867481,42.227038885605104,47.58898651263981,36.78452771101617,39.98495932882324,66.61750398587174,46.80311657832922,40.817048705870086,40.295204539838,51.58198302082466,57.362824955980074,60.61199737181917,65.87587587587588,36.42507515128008,36.643183913333765,84.63541293938215,31.283074611345157,61.51322450937679,40.7794003440014,30.75344197964692,24.26109726838767,84.548723181773,39.56004014732245,71.32279215612549,42.28944163330554,28.202258502987544,28.64642697976031
8-2015,70.27144684628237,73.95428675856307,52.064732142857146,59.07398705096074,37.23364400584795,45.91596177944862,81.52901785714286,72.4766342940685,62.9984466374269,48.21271929824562,48.46928519214704,58.273091583124476,64.57289055973266,58.29280231829574,22.9985119047619,35.69659826649959,58.71854114452799,83.11135912698413,61.57470499164578,68.45799394319131,34.31847848788638,11.65831244778613,32.80375417710944,45.775898078529664,42.13646094402674,9.123720760233919,41.113199665831246,58.54806286549708,24.534904970760234,46.637557435254806,66.12801535087719,49.88069131161237,31.88015611946533,38.008302005012524,43.113186612364245,79.11138523391813,48.66110588972431,42.972274436090224,42.60175177527152,31.823830409356724,61.257179406850454,80.66030962823726,85.04895050125313,47.10761278195489,31.146616541353385,81.9046966374269,36.95371240601504,57.34890611946533,34.61864296157059,51.68546365914787,12.769097222222223,76.83766708437761,43.86571898496241,81.70523966165413,31.78460474101922,73.5766499582289,14.367559523809524
