NUM_INDX,DESCRIPCION_INDX,DESCRIPCION_INDX_NORM,PILAR,SUBPILAR,DESCRIPCION_PILAR,AÑO,CATEGORIA_INDX,CATEGORIA_DESC,FACTOR
12.01,Capacity for innovation,capacity for innovation,12,1,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.02,Quality of scientific research institutions,quality of scientific research institutions,12,2,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.03,Company spending on R&D,company spending on rd,12,3,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.04,University-industry collaboration in R&D,universityindustry collaboration in rd,12,4,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.05,Government procurement of advanced technology products,government procurement of advanced technology products,12,5,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.06,Availability of scientists and engineers,availability of scientists and engineers,12,6,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
12.07,PCT patent applications,pct patent applications,12,7,Capacidad de Innovación,2014,C,Factores de Innovación y Sofisticación,0.1
1.01,Property rights,property rights,1,1,Instituciones,2015,A,Requisitos Básicos,0.4
1.02,Intellectual property protection,intellectual property protection,1,2,Instituciones,2015,A,Requisitos Básicos,0.4
1.03,Diversion of public funds,diversion of public funds,1,3,Instituciones,2015,A,Requisitos Básicos,0.4
1.04,Public trust in politicians,public trust in politicians,1,4,Instituciones,2015,A,Requisitos Básicos,0.4
1.05,Irregular payments and bribes,irregular payments and bribes,1,5,Instituciones,2015,A,Requisitos Básicos,0.4
1.06,Judicial independence,judicial independence,1,6,Instituciones,2015,A,Requisitos Básicos,0.4
1.07,Favoritism in decisions of government officials,favoritism in decisions of government officials,1,7,Instituciones,2015,A,Requisitos Básicos,0.4
1.08,Wastefulness of government spending,wastefulness of government spending,1,8,Instituciones,2015,A,Requisitos Básicos,0.4
1.09,Burden of government regulation,burden of government regulation,1,9,Instituciones,2015,A,Requisitos Básicos,0.4
1.10,Efficiency of legal framework in settling disputes,efficiency of legal framework in settling disputes,1,10,Instituciones,2015,A,Requisitos Básicos,0.4
1.11,Efficiency of legal framework in challenging regulations,efficiency of legal framework in challenging regulations,1,11,Instituciones,2015,A,Requisitos Básicos,0.4
1.12,Transparency of government policymaking,transparency of government policymaking,1,12,Instituciones,2015,A,Requisitos Básicos,0.4
1.13,Business costs of terrorism,business costs of terrorism,1,13,Instituciones,2015,A,Requisitos Básicos,0.4
1.14,Business costs of crime and violence,business costs of crime and violence,1,14,Instituciones,2015,A,Requisitos Básicos,0.4
1.15,Organized crime,organized crime,1,15,Instituciones,2015,A,Requisitos Básicos,0.4
1.16,Reliability of police services,reliability of police services,1,16,Instituciones,2015,A,Requisitos Básicos,0.4
1.17,Ethical behavior of firms,ethical behavior of firms,1,17,Instituciones,2015,A,Requisitos Básicos,0.4
1.18,Strength of auditing and reporting standards,strength of auditing and reporting standards,1,18,Instituciones,2015,A,Requisitos Básicos,0.4
1.19,Efficacy of corporate boards,efficacy of corporate boards,1,19,Instituciones,2015,A,Requisitos Básicos,0.4
1.20,Protection of minority shareholders’ interests,protection of minority shareholders interests,1,20,Instituciones,2015,A,Requisitos Básicos,0.4
1.21,Strength of investor protection,strength of investor protection,1,21,Instituciones,2015,A,Requisitos Básicos,0.4
2.01,Quality of overall infrastructure,quality of overall infrastructure,2,1,Infraestructura,2015,A,Requisitos Básicos,0.4
2.02,Quality of roads,quality of roads,2,2,Infraestructura,2015,A,Requisitos Básicos,0.4
2.03,Quality of railroad infrastructurei,quality of railroad infrastructurei,2,3,Infraestructura,2015,A,Requisitos Básicos,0.4
2.04,Quality of port infrastructure,quality of port infrastructure,2,4,Infraestructura,2015,A,Requisitos Básicos,0.4
2.05,Quality of air transport infrastructure,quality of air transport infrastructure,2,5,Infraestructura,2015,A,Requisitos Básicos,0.4
